,s,t,o,h,l,c,v
0,ok,2017-01-29,2.65,2.9,2.6,2.9,521867
1,ok,2017-01-30,3.15,3.15,3.1,3.15,746260
2,ok,2017-01-31,3.45,3.45,3.15,3.45,971463
3,ok,2017-02-01,3.75,3.75,3.65,3.75,620258
4,ok,2017-02-02,3.9,3.9,3.6,3.65,957875
5,ok,2017-02-05,3.55,3.55,3.5,3.5,81062
6,ok,2017-02-06,3.35,3.35,3.35,3.35,54799
7,ok,2017-02-07,3.2,3.2,3.2,3.2,91380
8,ok,2017-02-08,3.05,3.35,3.05,3.35,1346570
9,ok,2017-02-09,3.5,3.5,3.2,3.2,960140
10,ok,2017-02-12,3.05,3.1,3.05,3.05,183278
11,ok,2017-02-13,2.9,3.2,2.9,3.05,437407
12,ok,2017-02-14,2.95,3.15,2.9,3.05,180058
13,ok,2017-02-15,2.9,3.1,2.9,3.05,88402
14,ok,2017-02-16,3.1,3.2,3.0,3.1,171898
15,ok,2017-02-19,3.1,3.15,3.0,3.05,104051
16,ok,2017-02-20,2.95,3.2,2.95,3.2,151262
17,ok,2017-02-21,3.15,3.2,3.05,3.05,199201
18,ok,2017-02-22,3.0,3.15,2.9,3.1,372828
19,ok,2017-02-26,3.0,3.0,2.95,2.95,76445
20,ok,2017-02-27,2.85,3.05,2.85,2.9,81224
21,ok,2017-02-28,2.9,3.0,2.85,3.0,204344
22,ok,2017-03-01,2.95,3.0,2.9,2.9,87182
23,ok,2017-03-02,2.9,3.0,2.8,2.9,142447
24,ok,2017-03-05,2.95,3.0,2.8,2.9,151067
25,ok,2017-03-06,2.85,2.9,2.8,2.85,59517
26,ok,2017-03-07,2.8,2.85,2.75,2.75,64469
27,ok,2017-03-08,2.75,2.8,2.65,2.65,132409
28,ok,2017-03-09,2.6,2.65,2.55,2.55,129800
29,ok,2017-03-13,2.55,2.65,2.5,2.6,68396
30,ok,2017-03-14,2.6,2.7,2.5,2.7,233785
31,ok,2017-03-15,2.65,2.8,2.65,2.7,207509
32,ok,2017-03-16,2.7,2.75,2.6,2.65,87684
33,ok,2017-03-19,2.6,2.75,2.6,2.6,149646
34,ok,2017-03-20,2.65,2.65,2.55,2.55,147782
35,ok,2017-03-21,2.55,2.65,2.45,2.65,260580
36,ok,2017-03-22,2.6,2.75,2.6,2.7,106601
37,ok,2017-03-23,2.65,2.75,2.6,2.65,212934
38,ok,2017-03-26,2.7,2.7,2.55,2.6,97442
39,ok,2017-03-27,2.6,2.6,2.5,2.5,235329
40,ok,2017-03-28,2.55,2.6,2.4,2.4,165788
41,ok,2017-03-29,2.45,2.5,2.4,2.5,113144
42,ok,2017-03-30,2.55,2.6,2.55,2.6,61141
43,ok,2017-04-02,2.65,2.7,2.6,2.65,179252
44,ok,2017-04-04,2.65,2.7,2.55,2.6,505814
45,ok,2017-04-05,2.65,2.7,2.6,2.65,203353
46,ok,2017-04-06,2.7,2.75,2.6,2.65,110988
47,ok,2017-04-09,2.65,2.8,2.65,2.7,108060
48,ok,2017-04-10,2.8,2.85,2.7,2.75,81961
49,ok,2017-04-11,2.75,2.75,2.6,2.7,72315
50,ok,2017-04-12,2.75,2.75,2.55,2.6,63880
51,ok,2017-04-16,2.55,2.65,2.55,2.65,73540
52,ok,2017-04-17,2.7,2.7,2.6,2.65,118391
53,ok,2017-04-18,2.6,2.65,2.55,2.65,76985
54,ok,2017-04-19,2.6,2.7,2.55,2.55,90912
55,ok,2017-04-20,2.6,2.8,2.55,2.8,305399
56,ok,2017-04-23,2.9,3.0,2.75,2.8,203777
57,ok,2017-04-24,2.85,2.85,2.7,2.75,80472
58,ok,2017-04-25,2.8,2.8,2.65,2.7,114701
59,ok,2017-04-26,2.8,2.95,2.65,2.95,257534
60,ok,2017-04-27,2.95,3.0,2.75,2.8,338858
61,ok,2017-05-01,2.85,2.95,2.8,2.9,97759
62,ok,2017-05-02,2.8,2.9,2.8,2.8,108349
63,ok,2017-05-03,2.8,2.85,2.7,2.7,69189
64,ok,2017-05-04,2.7,2.9,2.65,2.7,138221
65,ok,2017-05-07,2.7,2.9,2.65,2.85,131767
66,ok,2017-05-08,2.9,2.95,2.8,2.85,84077
67,ok,2017-05-09,2.95,2.95,2.8,2.8,46307
68,ok,2017-05-10,2.9,2.9,2.8,2.85,44485
69,ok,2017-05-11,2.85,2.85,2.75,2.8,57237
70,ok,2017-05-14,2.85,2.85,2.65,2.7,137401
71,ok,2017-05-15,2.75,2.75,2.65,2.65,53216
72,ok,2017-05-16,2.65,2.75,2.6,2.65,172325
73,ok,2017-05-17,2.7,2.7,2.55,2.6,199416
74,ok,2017-05-18,2.6,2.85,2.6,2.75,148944
75,ok,2017-05-21,2.85,2.85,2.6,2.65,188364
76,ok,2017-05-22,2.6,2.6,2.4,2.4,533155
77,ok,2017-05-23,2.3,2.55,2.2,2.4,764076
78,ok,2017-05-24,2.5,2.55,2.35,2.45,270016
79,ok,2017-05-25,2.4,2.5,2.35,2.35,180006
80,ok,2017-05-28,2.35,2.5,2.3,2.4,247368
81,ok,2017-05-29,2.45,2.55,2.35,2.4,186246
82,ok,2017-05-30,2.5,2.5,2.3,2.4,189590
83,ok,2017-05-31,2.4,2.4,2.3,2.35,242221
84,ok,2017-06-01,2.35,2.4,2.25,2.3,313911
85,ok,2017-06-04,2.3,2.45,2.3,2.4,353744
86,ok,2017-06-05,2.35,2.5,2.35,2.45,165810
87,ok,2017-06-06,2.35,2.75,2.35,2.7,462208
88,ok,2017-06-07,2.75,2.8,2.6,2.7,158663
89,ok,2017-06-08,2.65,2.75,2.55,2.55,172174
90,ok,2017-06-11,2.6,2.65,2.4,2.5,183723
91,ok,2017-06-12,2.5,2.6,2.45,2.45,98601
92,ok,2017-06-13,2.4,2.6,2.4,2.45,180233
93,ok,2017-06-14,2.45,2.65,2.4,2.6,491379
94,ok,2017-06-15,2.6,2.7,2.55,2.6,397861
95,ok,2017-06-18,2.65,2.65,2.5,2.6,163901
96,ok,2017-06-19,2.55,2.6,2.5,2.55,60504
97,ok,2017-06-20,2.5,2.6,2.4,2.45,264919
98,ok,2017-06-21,2.45,2.5,2.45,2.5,44970
99,ok,2017-06-22,2.45,2.5,2.35,2.45,129061
100,ok,2017-06-26,2.4,2.45,2.3,2.3,197744
101,ok,2017-06-27,2.4,2.45,2.3,2.3,139347
102,ok,2017-06-28,2.35,2.45,2.35,2.4,108442
103,ok,2017-06-29,2.45,2.45,2.1,2.3,1451325
104,ok,2017-07-02,2.35,2.35,2.3,2.3,95420
105,ok,2017-07-03,2.35,2.35,2.1,2.2,1003894
106,ok,2017-07-04,2.2,2.2,2.05,2.1,882008
107,ok,2017-07-05,2.1,2.25,2.1,2.2,241523
108,ok,2017-07-06,2.25,2.3,2.2,2.3,253616
109,ok,2017-07-09,2.2,2.3,2.1,2.3,92921
110,ok,2017-07-10,2.3,2.35,2.2,2.3,202906
111,ok,2017-07-11,2.3,2.35,2.25,2.35,63416
112,ok,2017-07-12,2.4,2.5,2.2,2.2,1133416
113,ok,2017-07-13,2.25,2.35,2.2,2.25,324632
114,ok,2017-07-16,2.25,2.35,2.25,2.3,115659
115,ok,2017-07-17,2.3,2.35,2.25,2.25,207458
116,ok,2017-07-18,2.25,2.35,2.25,2.35,404028
117,ok,2017-07-19,2.3,2.4,2.3,2.3,215735
118,ok,2017-07-20,2.4,2.65,2.35,2.55,598764
119,ok,2017-07-23,2.55,2.6,2.45,2.5,257505
120,ok,2017-07-24,2.5,2.55,2.45,2.5,105565
121,ok,2017-07-25,2.45,2.55,2.45,2.5,203286
122,ok,2017-07-26,2.45,2.55,2.35,2.4,421968
123,ok,2017-07-27,2.4,2.4,2.3,2.4,45038
124,ok,2017-07-30,2.35,2.45,2.35,2.4,76687
125,ok,2017-07-31,2.35,2.4,2.25,2.35,111794
126,ok,2017-08-01,2.35,2.45,2.35,2.45,136372
127,ok,2017-08-02,2.4,2.4,2.3,2.35,120418
128,ok,2017-08-03,2.35,2.4,2.3,2.3,83319
129,ok,2017-08-06,2.35,2.4,2.35,2.4,96394
130,ok,2017-08-07,2.3,2.4,2.25,2.3,215356
131,ok,2017-08-08,2.2,2.35,2.2,2.25,149297
132,ok,2017-08-09,2.2,2.2,2.1,2.15,200349
133,ok,2017-08-10,2.1,2.15,2.0,2.1,206426
134,ok,2017-08-13,2.1,2.25,2.0,2.2,370163
135,ok,2017-08-15,2.15,2.25,2.0,2.15,2954588
136,ok,2017-08-16,2.2,2.2,2.1,2.15,88061
137,ok,2017-08-17,2.15,2.15,2.05,2.1,160608
138,ok,2017-08-20,2.1,2.25,2.05,2.2,318957
139,ok,2017-08-21,2.25,2.25,2.1,2.15,173754
140,ok,2017-08-22,2.1,2.2,2.1,2.15,30716
141,ok,2017-08-23,2.1,2.2,2.1,2.1,60313
142,ok,2017-08-27,2.1,2.2,2.1,2.15,162976
143,ok,2017-08-28,2.1,2.25,2.1,2.1,309061
144,ok,2017-08-29,2.15,2.2,2.1,2.1,99577
145,ok,2017-08-30,2.1,2.15,2.1,2.15,22870
146,ok,2017-08-31,2.15,2.2,2.1,2.2,58618
147,ok,2017-09-03,2.1,2.2,2.1,2.15,47112
148,ok,2017-09-04,2.1,2.2,2.1,2.15,125352
149,ok,2017-09-05,2.2,2.2,2.1,2.2,134153
150,ok,2017-09-06,2.2,2.35,2.15,2.3,253219
151,ok,2017-09-07,2.25,2.3,2.15,2.2,294892
152,ok,2017-09-10,2.2,2.25,2.15,2.2,104866
153,ok,2017-09-11,2.2,2.25,2.15,2.15,161592
154,ok,2017-09-12,2.25,2.35,2.15,2.35,296458
155,ok,2017-09-13,2.35,2.8,2.35,2.7,3379481
156,ok,2017-09-14,2.85,2.9,2.5,2.7,851114
157,ok,2017-09-17,2.75,2.9,2.7,2.75,356797
158,ok,2017-09-18,2.75,2.85,2.7,2.8,370899
159,ok,2017-09-19,2.8,2.8,2.55,2.65,280527
160,ok,2017-09-20,2.65,2.75,2.6,2.65,202755
161,ok,2017-09-21,2.65,2.7,2.25,2.45,612521
162,ok,2017-09-24,2.6,2.6,2.25,2.4,196697
163,ok,2017-09-25,2.45,2.55,2.35,2.5,135583
164,ok,2017-09-26,2.6,2.65,2.5,2.55,2068704
165,ok,2017-09-27,2.6,2.6,2.55,2.55,139409
166,ok,2017-09-28,2.55,2.7,2.55,2.6,1950062
167,ok,2017-10-02,2.65,2.75,2.6,2.7,278153
168,ok,2017-10-03,2.6,2.85,2.6,2.8,311956
169,ok,2017-10-04,2.75,2.85,2.6,2.8,227939
170,ok,2017-10-05,2.85,2.85,2.65,2.75,187019
171,ok,2017-10-08,2.75,2.85,2.7,2.8,266987
172,ok,2017-10-09,2.9,3.35,2.9,3.35,1470543
173,ok,2017-10-10,3.5,4.0,3.4,3.5,4328697
174,ok,2017-10-11,3.5,3.75,3.3,3.35,728984
175,ok,2017-10-12,3.4,3.6,3.35,3.4,619192
176,ok,2017-10-15,3.4,3.6,3.2,3.4,1336426
177,ok,2017-10-16,3.45,3.7,3.35,3.65,730965
178,ok,2017-10-17,3.7,3.8,3.5,3.7,777909
179,ok,2017-10-18,3.8,3.8,3.6,3.7,338718
180,ok,2017-10-22,3.8,4.05,3.7,3.75,1434731
181,ok,2017-10-23,3.85,3.85,3.55,3.6,1048545
182,ok,2017-10-24,3.7,3.75,3.35,3.5,757834
183,ok,2017-10-25,3.45,3.45,3.25,3.3,667233
184,ok,2017-10-26,3.3,3.75,3.2,3.5,796985
185,ok,2017-10-29,3.7,3.75,3.6,3.65,869272
186,ok,2017-10-30,3.7,3.9,3.7,3.8,1004997
187,ok,2017-10-31,3.9,3.95,3.7,3.85,1048473
188,ok,2017-11-01,3.95,4.6,3.9,4.6,4343838
189,ok,2017-11-02,4.95,5.05,4.6,5.05,2401001
190,ok,2017-11-05,5.2,5.55,5.1,5.55,3676796
191,ok,2017-11-06,6.1,6.1,5.15,5.25,6076088
192,ok,2017-11-07,5.35,5.4,4.75,4.75,1953963
193,ok,2017-11-08,4.4,5.2,4.3,5.2,3570492
194,ok,2017-11-09,5.1,5.25,4.8,4.95,1318582
195,ok,2017-11-12,4.85,4.95,4.5,4.6,1428223
196,ok,2017-11-13,4.5,4.8,4.4,4.7,369715
197,ok,2017-11-14,4.55,4.55,4.5,4.5,61945
198,ok,2017-11-15,4.3,4.3,4.3,4.3,46072
199,ok,2017-11-16,4.1,4.1,4.1,4.1,120597
200,ok,2017-11-19,3.9,4.3,3.9,4.25,543637
201,ok,2017-11-20,4.4,4.45,4.25,4.45,200153
202,ok,2017-11-21,4.65,4.65,4.45,4.55,435368
203,ok,2017-11-22,4.7,4.7,4.35,4.35,192223
204,ok,2017-11-23,4.15,4.4,4.15,4.15,293691
205,ok,2017-11-26,4.2,4.3,3.95,4.1,293948
206,ok,2017-11-27,4.1,4.2,3.95,4.05,245564
207,ok,2017-11-28,4.1,4.15,3.9,3.95,152592
208,ok,2017-11-29,4.05,4.05,3.85,3.95,262907
209,ok,2017-11-30,4.1,4.1,4.0,4.05,252279
210,ok,2017-12-03,4.25,4.25,3.95,4.05,311473
211,ok,2017-12-04,4.15,4.25,3.9,4.05,246355
212,ok,2017-12-05,4.15,4.15,3.95,4.0,108959
213,ok,2017-12-06,4.0,4.05,3.95,4.0,234211
214,ok,2017-12-07,4.0,4.1,3.95,4.0,127834
215,ok,2017-12-10,3.95,4.1,3.9,4.05,150077
216,ok,2017-12-11,3.9,4.1,3.9,3.95,209273
217,ok,2017-12-12,4.05,4.05,3.8,3.85,101746
218,ok,2017-12-13,3.95,3.95,3.75,3.85,154206
219,ok,2017-12-14,3.9,3.95,3.8,3.9,199050
220,ok,2017-12-17,3.9,3.95,3.75,3.8,178938
221,ok,2017-12-18,3.85,3.85,3.65,3.7,281550
222,ok,2017-12-19,3.7,3.85,3.55,3.85,315939
223,ok,2017-12-20,3.85,3.95,3.75,3.8,147796
224,ok,2017-12-21,3.85,3.9,3.7,3.8,172502
225,ok,2017-12-25,3.9,3.9,3.7,3.7,220638
226,ok,2017-12-26,3.8,3.85,3.6,3.85,412139
227,ok,2017-12-27,3.75,4.0,3.75,3.95,342075
228,ok,2017-12-28,3.85,4.0,3.8,3.95,153659
229,ok,2017-12-31,4.05,4.05,3.8,3.9,262167
230,ok,2018-01-01,3.85,4.05,3.75,3.75,475073
231,ok,2018-01-02,3.9,3.9,3.75,3.9,165915
232,ok,2018-01-03,3.9,4.05,3.9,3.95,141010
233,ok,2018-01-04,4.0,4.05,3.85,4.0,186844
234,ok,2018-01-07,4.05,4.2,3.9,4.2,443332
235,ok,2018-01-08,4.4,4.4,4.05,4.4,252203
236,ok,2018-01-09,4.6,4.6,4.35,4.6,250010
237,ok,2018-01-10,4.6,4.8,4.6,4.8,216920
238,ok,2018-01-11,5.0,5.0,4.6,4.6,461158
239,ok,2018-01-14,4.6,4.75,4.4,4.65,245520
240,ok,2018-01-15,4.65,4.65,4.45,4.45,134933
241,ok,2018-01-16,4.4,4.4,4.25,4.25,122480
242,ok,2018-01-17,4.05,4.4,4.05,4.1,228366
243,ok,2018-01-18,4.0,4.1,3.9,4.0,208863
244,ok,2018-01-21,3.9,4.0,3.8,3.9,112259
245,ok,2018-01-22,4.0,4.0,3.75,3.8,193698
246,ok,2018-01-23,3.85,3.9,3.65,3.85,117506
247,ok,2018-01-24,3.75,3.85,3.7,3.75,120623
248,ok,2018-01-28,3.8,3.85,3.6,3.65,250478
249,ok,2018-01-29,3.7,3.75,3.5,3.6,255160
250,ok,2018-01-30,3.65,3.7,3.45,3.55,117795
251,ok,2018-01-31,3.55,3.65,3.5,3.5,176841
252,ok,2018-02-01,3.5,3.6,3.35,3.4,441889
253,ok,2018-02-04,3.25,3.4,3.25,3.35,190037
254,ok,2018-02-05,3.45,3.45,3.2,3.2,175355
255,ok,2018-02-06,3.1,3.35,3.1,3.35,33431
256,ok,2018-02-07,3.4,3.5,3.4,3.5,88075
257,ok,2018-02-08,3.65,3.65,3.4,3.6,262519
258,ok,2018-02-11,3.7,3.75,3.45,3.6,251757
259,ok,2018-02-13,3.7,3.75,3.6,3.65,443333
260,ok,2018-02-14,3.7,3.8,3.65,3.8,170208
261,ok,2018-02-15,3.95,3.95,3.65,3.65,208924
262,ok,2018-02-18,3.75,3.75,3.5,3.5,108527
263,ok,2018-02-19,3.45,3.65,3.45,3.5,147755
264,ok,2018-02-20,3.5,3.55,3.35,3.45,122010
265,ok,2018-02-21,3.45,3.45,3.3,3.3,191649
266,ok,2018-02-22,3.35,3.45,3.25,3.35,178557
267,ok,2018-02-25,3.4,3.5,3.25,3.5,178849
268,ok,2018-02-26,3.5,3.5,3.35,3.35,155550
269,ok,2018-02-27,3.35,3.35,3.2,3.25,176596
270,ok,2018-02-28,3.25,3.35,3.2,3.35,110250
271,ok,2018-03-04,3.35,3.35,3.2,3.2,75728
272,ok,2018-03-05,3.2,3.3,3.1,3.1,93106
273,ok,2018-03-06,3.15,3.15,2.95,2.95,273628
274,ok,2018-03-07,3.0,3.0,2.85,2.9,361148
275,ok,2018-03-08,2.95,3.0,2.9,2.95,138518
276,ok,2018-03-11,3.0,3.05,2.95,3.0,197247
277,ok,2018-03-12,3.05,3.15,2.9,3.1,141400
278,ok,2018-03-13,3.2,3.25,3.1,3.2,136687
279,ok,2018-03-14,3.3,3.3,3.15,3.2,67147
280,ok,2018-03-15,3.2,3.35,3.15,3.35,81589
281,ok,2018-03-18,3.5,3.5,3.2,3.2,191484
282,ok,2018-03-19,3.05,3.2,3.05,3.05,340284
283,ok,2018-03-20,3.05,3.15,2.95,3.05,114175
284,ok,2018-03-21,3.15,3.15,2.95,3.05,58562
285,ok,2018-03-22,2.95,3.0,2.9,3.0,167063
286,ok,2018-03-25,3.0,3.0,2.85,2.85,206824
287,ok,2018-03-26,2.9,2.95,2.8,2.9,170344
288,ok,2018-03-27,2.9,3.0,2.85,2.85,209208
289,ok,2018-04-01,2.95,2.95,2.9,2.95,108249
290,ok,2018-04-02,2.9,3.0,2.85,2.95,92556
291,ok,2018-04-03,2.9,3.05,2.9,3.0,144955
292,ok,2018-04-04,3.0,3.15,2.95,3.15,191120
293,ok,2018-04-05,3.3,3.3,3.1,3.2,141970
294,ok,2018-04-08,3.2,3.5,3.1,3.35,400907
295,ok,2018-04-09,3.45,3.45,3.25,3.3,112743
296,ok,2018-04-10,3.3,3.3,3.0,3.1,176456
297,ok,2018-04-11,3.0,3.15,3.0,3.05,33506
298,ok,2018-04-12,3.15,3.35,3.05,3.35,360251
299,ok,2018-04-15,3.4,3.4,3.15,3.15,99867
300,ok,2018-04-16,3.15,3.4,3.05,3.15,280385
301,ok,2018-04-17,3.25,3.35,3.1,3.25,1313904
302,ok,2018-04-18,3.3,3.45,3.25,3.4,1448634
303,ok,2018-04-19,3.5,3.5,3.3,3.3,191120
304,ok,2018-04-22,3.25,3.4,3.2,3.35,153207
305,ok,2018-04-23,3.35,3.4,3.15,3.2,223774
306,ok,2018-04-24,3.15,3.25,2.9,3.0,1093566
307,ok,2018-04-25,2.9,3.05,2.8,2.85,472135
308,ok,2018-04-26,2.9,3.0,2.6,2.65,975010
309,ok,2018-04-29,2.6,2.75,2.6,2.75,251064
310,ok,2018-05-01,2.75,2.85,2.75,2.8,234418
311,ok,2018-05-02,2.8,2.9,2.75,2.8,84223
312,ok,2018-05-03,2.85,2.9,2.75,2.8,218752
313,ok,2018-05-06,2.85,2.85,2.75,2.8,196858
314,ok,2018-05-07,2.85,2.85,2.75,2.75,184821
315,ok,2018-05-08,2.8,2.8,2.65,2.7,279017
316,ok,2018-05-09,2.65,2.8,2.65,2.75,250013
317,ok,2018-05-10,2.7,2.8,2.65,2.65,297475
318,ok,2018-05-13,2.7,2.7,2.55,2.55,207275
319,ok,2018-05-14,2.55,2.55,2.45,2.45,290660
320,ok,2018-05-15,2.35,2.4,2.35,2.35,273815
321,ok,2018-05-16,2.25,2.45,2.25,2.35,981527
322,ok,2018-05-17,2.3,2.4,2.25,2.25,459279
323,ok,2018-05-20,2.25,2.25,2.15,2.25,234580
324,ok,2018-05-21,2.15,2.35,2.15,2.3,285838
325,ok,2018-05-22,2.4,2.4,2.25,2.4,134332
326,ok,2018-05-23,2.5,2.5,2.35,2.4,629783
327,ok,2018-05-24,2.4,2.45,2.3,2.3,445461
328,ok,2018-05-27,2.3,2.35,2.2,2.25,556159
329,ok,2018-05-28,2.25,2.25,2.15,2.25,693345
330,ok,2018-05-29,2.25,2.35,2.25,2.35,368209
331,ok,2018-05-30,2.45,2.45,2.4,2.45,286264
332,ok,2018-05-31,2.5,2.55,2.45,2.55,406130
333,ok,2018-06-03,2.6,2.6,2.45,2.45,370352
334,ok,2018-06-04,2.45,2.45,2.35,2.35,47334
335,ok,2018-06-05,2.25,2.4,2.25,2.3,281941
336,ok,2018-06-06,2.3,2.5,2.25,2.5,287046
337,ok,2018-06-07,2.5,2.7,2.5,2.6,270934
338,ok,2018-06-10,2.7,2.7,2.55,2.55,116830
339,ok,2018-06-11,2.6,2.6,2.45,2.55,335801
340,ok,2018-06-12,2.5,2.65,2.45,2.65,258456
341,ok,2018-06-13,2.7,2.7,2.45,2.6,182340
342,ok,2018-06-14,2.65,2.65,2.45,2.5,239727
343,ok,2018-06-17,2.5,2.55,2.45,2.5,153524
344,ok,2018-06-18,2.55,2.55,2.35,2.4,85217
345,ok,2018-06-19,2.45,2.45,2.35,2.4,119654
346,ok,2018-06-20,2.4,2.4,2.3,2.35,145319
347,ok,2018-06-21,2.4,2.55,2.35,2.5,169410
348,ok,2018-06-24,2.55,2.6,2.45,2.45,202447
349,ok,2018-06-25,2.45,2.5,2.35,2.4,157180
350,ok,2018-06-26,2.45,2.5,2.2,2.2,294727
351,ok,2018-06-27,2.2,2.25,2.15,2.15,188045
352,ok,2018-06-28,2.15,2.35,2.1,2.3,115107
353,ok,2018-07-01,2.4,2.4,2.25,2.4,62188
354,ok,2018-07-02,2.3,2.4,2.25,2.35,51938
355,ok,2018-07-03,2.35,2.45,2.3,2.3,186328
356,ok,2018-07-04,2.35,2.4,2.3,2.3,40480
357,ok,2018-07-05,2.3,2.4,2.3,2.4,175987
358,ok,2018-07-08,2.4,2.55,2.4,2.45,184343
359,ok,2018-07-09,2.45,2.55,2.25,2.3,132931
360,ok,2018-07-10,2.35,2.4,2.3,2.35,134877
361,ok,2018-07-11,2.35,2.5,2.35,2.35,203949
362,ok,2018-07-12,2.45,2.45,2.3,2.35,48915
363,ok,2018-07-15,2.4,2.4,2.2,2.3,167737
364,ok,2018-07-16,2.25,2.3,2.15,2.25,164903
365,ok,2018-07-17,2.3,2.35,2.2,2.25,135093
366,ok,2018-07-18,2.25,2.25,2.1,2.15,278823
367,ok,2018-07-19,2.05,2.2,2.05,2.15,71677
368,ok,2018-07-22,2.1,2.15,2.05,2.15,70800
369,ok,2018-07-23,2.2,2.3,2.1,2.15,68494
370,ok,2018-07-24,2.15,2.25,2.1,2.15,187287
371,ok,2018-07-25,2.2,2.25,2.1,2.1,445088
372,ok,2018-07-26,2.2,2.2,2.1,2.15,164626
373,ok,2018-07-29,2.2,2.2,2.15,2.15,152162
374,ok,2018-07-30,2.15,2.2,2.1,2.15,248837
375,ok,2018-07-31,2.15,2.2,2.1,2.15,187542
376,ok,2018-08-01,2.1,2.3,2.1,2.25,298619
377,ok,2018-08-02,2.35,2.35,2.2,2.3,96195
378,ok,2018-08-05,2.35,2.4,2.25,2.4,276173
379,ok,2018-08-06,2.5,2.55,2.4,2.45,274150
380,ok,2018-08-07,2.7,2.7,2.45,2.5,138221
381,ok,2018-08-08,2.6,2.6,2.35,2.45,217386
382,ok,2018-08-09,2.3,2.5,2.3,2.4,116048
383,ok,2018-08-12,2.4,2.55,2.25,2.4,198964
384,ok,2018-08-13,2.55,2.55,2.4,2.55,114198
385,ok,2018-08-15,2.05,2.4,2.05,2.3,683574
386,ok,2018-08-16,2.25,2.4,2.25,2.3,155784
387,ok,2018-08-19,2.3,2.35,2.2,2.25,259766
388,ok,2018-08-20,2.3,2.35,2.25,2.35,151628
389,ok,2018-08-22,2.35,2.35,2.25,2.3,172819
390,ok,2018-08-23,2.35,2.55,2.25,2.45,326868
391,ok,2018-08-26,2.55,2.55,2.4,2.5,175186
392,ok,2018-08-27,2.5,2.5,2.3,2.35,141427
393,ok,2018-08-28,2.35,2.4,2.3,2.35,79220
394,ok,2018-08-29,2.35,2.6,2.3,2.6,600207
395,ok,2018-08-30,2.7,2.75,2.55,2.6,430110
396,ok,2018-09-02,2.65,2.65,2.45,2.55,181758
397,ok,2018-09-03,2.55,2.55,2.45,2.5,51345
398,ok,2018-09-04,2.5,2.55,2.4,2.55,161631
399,ok,2018-09-05,2.55,2.55,2.45,2.5,90207
400,ok,2018-09-06,2.45,2.65,2.45,2.6,445818
401,ok,2018-09-09,2.6,2.6,2.5,2.55,131423
402,ok,2018-09-10,2.55,2.6,2.5,2.5,139950
403,ok,2018-09-11,2.5,2.55,2.5,2.5,70744
404,ok,2018-09-13,2.55,2.55,2.45,2.55,153876
405,ok,2018-09-16,2.5,2.55,2.4,2.45,58947
406,ok,2018-09-17,2.4,2.5,2.35,2.45,128231
407,ok,2018-09-18,2.45,2.45,2.35,2.4,197239
408,ok,2018-09-20,2.35,2.45,2.25,2.3,297886
409,ok,2018-09-23,2.3,2.35,2.05,2.15,348655
410,ok,2018-09-24,2.15,2.2,2.05,2.1,262433
411,ok,2018-09-25,2.15,2.25,2.1,2.1,158344
412,ok,2018-09-26,2.15,2.2,2.1,2.1,284669
413,ok,2018-09-27,2.2,2.2,2.05,2.1,444689
414,ok,2018-09-30,2.05,2.1,1.9,1.95,315847
415,ok,2018-10-02,1.95,2.05,1.85,2.05,148545
416,ok,2018-10-03,2.05,2.05,1.9,1.9,385831
417,ok,2018-10-04,1.95,2.0,1.85,1.9,277529
418,ok,2018-10-07,1.8,2.0,1.75,1.8,349352
419,ok,2018-10-08,1.8,1.85,1.7,1.8,190996
420,ok,2018-10-09,1.8,1.85,1.75,1.8,180493
421,ok,2018-10-10,1.75,1.85,1.75,1.8,193696
422,ok,2018-10-11,1.8,1.9,1.8,1.8,195087
423,ok,2018-10-14,1.85,1.9,1.8,1.8,196298
424,ok,2018-10-15,1.85,1.9,1.8,1.85,212229
425,ok,2018-10-16,1.9,1.9,1.8,1.85,193306
426,ok,2018-10-18,1.85,1.85,1.8,1.85,46968
427,ok,2018-10-21,1.85,1.85,1.7,1.75,167788
428,ok,2018-10-22,1.75,1.9,1.7,1.8,456120
429,ok,2018-10-23,1.85,2.05,1.8,1.95,534827
430,ok,2018-10-24,1.95,2.1,1.95,2.0,1147817
431,ok,2018-10-25,2.0,2.05,1.95,1.95,324305
432,ok,2018-10-28,2.0,2.0,1.85,1.95,158010
433,ok,2018-10-29,1.95,2.0,1.85,2.0,138934
434,ok,2018-10-30,1.9,2.05,1.9,2.0,118153
435,ok,2018-10-31,2.05,2.15,2.0,2.05,594958
436,ok,2018-11-01,2.1,2.1,2.0,2.05,175036
437,ok,2018-11-04,2.1,2.1,2.0,2.0,261600
438,ok,2018-11-05,2.05,2.05,2.0,2.0,71741
439,ok,2018-11-06,2.05,2.1,2.0,2.05,52213
440,ok,2018-11-08,2.05,2.1,2.0,2.05,115559
441,ok,2018-11-11,2.05,2.1,2.0,2.05,207887
442,ok,2018-11-12,2.1,2.4,2.05,2.25,859273
443,ok,2018-11-13,2.3,2.55,2.15,2.2,1328539
444,ok,2018-11-14,2.25,2.3,2.15,2.15,180943
445,ok,2018-11-15,2.25,2.25,2.1,2.15,236576
446,ok,2018-11-18,2.1,2.15,2.05,2.05,129477
447,ok,2018-11-19,2.05,2.15,2.05,2.15,128742
448,ok,2018-11-20,2.15,2.15,2.05,2.1,62721
449,ok,2018-11-21,2.05,2.15,2.05,2.05,176842
