,s,t,o,h,l,c,v
0,ok,2000-01-02,14.0,14.0,12.7,13.75,15500
1,ok,2000-01-03,13.9,14.0,12.5,12.85,38500
2,ok,2000-01-04,12.3,13.0,12.25,12.5,28600
3,ok,2000-01-05,12.75,12.9,12.35,12.7,11500
4,ok,2000-01-06,12.2,12.4,11.65,12.0,11400
5,ok,2000-01-09,11.4,12.2,11.4,11.8,13400
6,ok,2000-01-10,11.5,13.4,11.45,11.55,50300
7,ok,2000-01-11,14.45,14.45,14.45,14.45,50200
8,ok,2000-01-12,18.0,18.05,14.55,15.7,211800
9,ok,2000-01-13,16.85,16.85,13.5,14.3,99800
10,ok,2000-01-16,14.0,14.85,12.65,13.3,86200
11,ok,2000-01-17,13.0,14.0,12.7,13.4,66400
12,ok,2000-01-18,13.5,14.0,13.25,13.45,23600
13,ok,2000-01-19,13.1,14.0,13.1,13.3,15700
14,ok,2000-01-20,13.0,13.35,13.0,13.15,7600
15,ok,2000-01-23,12.85,13.0,12.45,12.8,8800
16,ok,2000-01-24,12.55,12.75,12.05,12.4,20800
17,ok,2000-01-26,12.75,13.2,12.25,12.25,8600
18,ok,2000-01-27,11.9,12.45,11.8,11.8,14200
19,ok,2000-01-30,11.25,11.85,11.2,11.4,11700
20,ok,2000-01-31,11.3,11.4,10.75,11.2,24600
21,ok,2000-02-01,12.0,12.4,11.6,11.9,15000
22,ok,2000-02-02,11.4,11.75,11.25,11.3,10100
23,ok,2000-02-03,11.05,11.3,10.5,11.15,19400
24,ok,2000-02-06,10.6,11.25,10.6,11.05,15900
25,ok,2000-02-07,10.05,11.1,10.05,10.95,23300
26,ok,2000-02-08,11.5,11.5,10.8,10.8,18600
27,ok,2000-02-09,10.6,10.9,10.25,10.35,18000
28,ok,2000-02-10,10.25,10.5,10.0,10.3,11500
29,ok,2000-02-13,10.0,10.4,9.75,9.75,9000
30,ok,2000-02-14,9.25,10.0,9.0,9.5,18200
31,ok,2000-02-15,10.0,10.5,9.5,10.0,15800
32,ok,2000-02-16,10.5,10.5,9.55,10.2,19400
33,ok,2000-02-17,10.1,10.1,9.3,9.7,9600
34,ok,2000-02-20,9.9,10.0,9.5,9.55,7800
35,ok,2000-02-21,9.0,9.4,8.1,8.5,27400
36,ok,2000-02-22,9.9,9.9,8.5,9.85,5800
37,ok,2000-02-23,9.5,9.75,8.6,9.05,6600
38,ok,2000-02-24,9.75,9.75,8.6,9.3,5200
39,ok,2000-02-27,8.8,9.25,8.75,8.8,10000
40,ok,2000-02-28,8.85,9.25,8.5,8.6,12500
41,ok,2000-02-29,9.0,9.5,8.95,9.35,5900
42,ok,2000-03-01,9.6,9.6,8.3,8.45,10400
43,ok,2000-03-02,8.1,8.5,8.1,8.25,4000
44,ok,2000-03-05,9.0,9.0,8.3,8.5,6100
45,ok,2000-03-06,7.5,8.5,7.25,8.4,22500
46,ok,2000-03-07,7.3,7.9,6.8,7.0,9200
47,ok,2000-03-08,7.25,7.45,7.0,7.05,9000
48,ok,2000-03-09,7.75,7.8,7.0,7.25,4400
49,ok,2000-03-12,7.4,7.9,7.0,7.35,6900
50,ok,2000-03-13,7.25,7.5,6.55,7.3,7300
51,ok,2000-03-14,7.1,7.9,6.9,6.95,7400
52,ok,2000-03-15,7.5,7.5,7.0,7.05,10200
53,ok,2000-03-20,7.5,7.55,6.85,6.9,7200
54,ok,2000-03-21,8.0,8.0,7.0,7.05,7900
55,ok,2000-03-22,6.75,7.6,6.7,7.5,3000
56,ok,2000-03-23,7.25,7.25,7.05,7.05,3500
57,ok,2000-03-26,7.55,7.55,6.85,6.85,5700
58,ok,2000-03-27,6.8,7.1,6.8,6.95,12800
59,ok,2000-03-28,7.1,7.4,7.1,7.4,4400
60,ok,2000-03-29,7.4,7.4,7.1,7.15,600
61,ok,2000-03-30,7.0,7.0,6.75,6.85,5200
62,ok,2000-04-02,6.7,7.3,6.7,6.95,7100
63,ok,2000-04-03,6.5,7.1,6.35,6.6,17600
64,ok,2000-04-04,7.15,7.4,6.65,6.75,3600
65,ok,2000-04-05,6.5,6.8,6.1,6.75,5900
66,ok,2000-04-06,6.75,7.4,6.75,7.4,9600
67,ok,2000-04-09,6.3,7.25,4.55,6.95,8000
68,ok,2000-04-11,6.9,7.0,6.5,6.5,2400
69,ok,2000-04-12,7.2,7.2,6.75,7.05,2800
70,ok,2000-04-16,6.05,7.0,6.05,7.0,2700
71,ok,2000-04-17,6.95,7.0,6.25,6.7,3200
72,ok,2000-04-18,6.2,6.7,6.2,6.5,1100
73,ok,2000-04-19,6.5,6.85,5.9,6.5,7600
74,ok,2000-04-23,6.1,6.55,6.0,6.5,2200
75,ok,2000-04-24,5.05,5.85,5.05,5.6,5000
76,ok,2000-04-25,5.95,6.4,5.95,6.3,4600
77,ok,2000-04-26,6.7,6.7,5.75,5.95,6800
78,ok,2000-04-27,6.0,6.0,5.95,5.95,400
79,ok,2000-05-01,5.85,6.5,5.8,6.4,6700
80,ok,2000-05-02,6.1,6.15,6.1,6.15,700
81,ok,2000-05-03,6.5,7.15,6.15,6.95,6300
82,ok,2000-05-04,6.3,6.95,6.3,6.7,2500
83,ok,2000-05-07,6.4,6.4,6.4,6.4,700
84,ok,2000-05-08,6.35,6.6,6.3,6.45,2700
85,ok,2000-05-09,6.85,6.85,6.4,6.7,1000
86,ok,2000-05-10,7.2,7.2,6.3,6.55,1500
87,ok,2000-05-11,6.15,6.2,5.5,5.95,7900
88,ok,2000-05-14,5.5,6.0,5.0,5.95,13700
89,ok,2000-05-15,6.0,6.2,5.95,6.05,5200
90,ok,2000-05-16,5.8,5.95,5.8,5.9,1300
91,ok,2000-05-17,6.2,6.25,6.15,6.2,3200
92,ok,2000-05-18,6.0,6.0,5.6,6.0,2000
93,ok,2000-05-21,6.05,6.05,6.0,6.0,1300
94,ok,2000-05-22,6.0,6.15,5.5,6.15,4100
95,ok,2000-05-23,5.75,6.5,5.75,6.0,4600
96,ok,2000-05-24,6.4,6.5,6.0,6.05,2900
97,ok,2000-05-25,6.05,6.3,6.05,6.3,4200
98,ok,2000-05-28,6.1,6.2,6.0,6.2,3100
99,ok,2000-05-29,5.9,6.45,5.75,6.35,5100
100,ok,2000-05-30,6.35,6.6,6.35,6.6,400
101,ok,2000-05-31,5.05,6.45,5.05,6.45,1900
102,ok,2000-06-01,6.1,6.15,6.1,6.1,600
103,ok,2000-06-04,6.1,6.75,6.1,6.75,2200
104,ok,2000-06-05,6.05,6.7,6.05,6.55,1300
105,ok,2000-06-06,6.4,6.5,6.4,6.5,800
106,ok,2000-06-07,6.8,7.4,6.65,7.0,6100
107,ok,2000-06-08,6.55,6.95,6.55,6.75,1100
108,ok,2000-06-11,6.25,7.0,6.25,6.95,6700
109,ok,2000-06-12,6.5,6.75,6.35,6.75,2000
110,ok,2000-06-13,6.5,6.8,6.5,6.7,3600
111,ok,2000-06-14,6.6,6.65,6.5,6.5,1100
112,ok,2000-06-15,6.35,6.5,6.35,6.45,1000
113,ok,2000-06-18,6.5,6.7,6.35,6.35,4900
114,ok,2000-06-19,6.3,6.75,6.3,6.35,2100
115,ok,2000-06-20,6.7,6.7,6.5,6.55,400
116,ok,2000-06-21,6.5,6.75,6.5,6.75,600
117,ok,2000-06-22,6.0,6.8,6.0,6.8,4300
118,ok,2000-06-25,6.5,6.5,6.0,6.3,8100
119,ok,2000-06-26,6.4,6.5,6.05,6.15,17200
120,ok,2000-06-27,6.1,6.2,6.1,6.2,1700
121,ok,2000-06-28,6.5,6.5,6.1,6.1,5800
122,ok,2000-06-29,6.4,6.45,6.2,6.2,1200
123,ok,2000-07-02,5.75,6.2,5.75,6.2,2200
124,ok,2000-07-03,6.0,6.1,6.0,6.0,5300
125,ok,2000-07-04,6.05,6.5,6.05,6.5,3400
126,ok,2000-07-05,6.3,6.6,6.3,6.35,4300
127,ok,2000-07-06,6.5,6.7,6.5,6.7,3600
128,ok,2000-07-09,6.4,6.5,6.4,6.4,1100
129,ok,2000-07-10,6.3,6.55,6.3,6.4,1400
130,ok,2000-07-11,6.1,6.6,6.1,6.6,700
131,ok,2000-07-12,6.1,6.15,6.1,6.1,2100
132,ok,2000-07-13,6.3,6.5,6.2,6.35,2500
133,ok,2000-07-16,6.2,6.5,6.2,6.45,2600
134,ok,2000-07-17,6.15,6.6,6.1,6.35,3000
135,ok,2000-07-18,6.5,6.55,6.5,6.55,400
136,ok,2000-07-19,6.1,6.1,6.1,6.1,200
137,ok,2000-07-20,6.3,7.9,6.2,7.9,4600
138,ok,2000-07-23,5.75,6.4,5.75,6.2,2800
139,ok,2000-07-24,6.3,6.3,6.25,6.25,1100
140,ok,2000-07-25,6.9,7.0,6.3,6.7,5800
141,ok,2000-07-26,7.1,7.1,6.5,6.6,4400
142,ok,2000-07-27,6.15,6.15,6.1,6.1,1800
143,ok,2000-07-30,6.05,6.4,6.0,6.15,5500
144,ok,2000-07-31,6.0,6.4,5.85,6.3,11600
145,ok,2000-08-01,7.9,8.5,7.0,7.5,7800
146,ok,2000-08-02,6.85,7.75,6.85,7.45,4800
147,ok,2000-08-03,7.45,7.45,7.3,7.45,3100
148,ok,2000-08-06,7.4,7.4,7.05,7.1,1000
149,ok,2000-08-07,7.45,7.45,7.1,7.25,4000
150,ok,2000-08-08,7.0,7.35,6.95,7.0,1100
151,ok,2000-08-09,7.05,7.35,7.0,7.05,6400
152,ok,2000-08-10,7.0,7.2,6.95,7.0,1600
153,ok,2000-08-13,7.25,7.35,7.05,7.3,2500
154,ok,2000-08-15,7.5,7.5,7.1,7.1,400
155,ok,2000-08-16,7.05,7.05,7.05,7.05,200
156,ok,2000-08-17,7.0,7.15,6.9,7.15,1400
157,ok,2000-08-20,7.0,7.0,6.9,6.9,600
158,ok,2000-08-21,6.85,6.95,6.8,6.95,900
159,ok,2000-08-22,6.9,6.9,6.05,6.05,1100
160,ok,2000-08-23,6.8,6.8,6.8,6.8,200
161,ok,2000-08-24,7.0,7.0,7.0,7.0,400
162,ok,2000-08-27,6.5,6.75,6.5,6.75,1100
163,ok,2000-08-28,6.55,6.8,6.55,6.6,500
164,ok,2000-08-29,6.15,6.65,6.15,6.65,2400
165,ok,2000-08-30,6.5,6.7,6.15,6.25,4400
166,ok,2000-09-03,6.5,6.5,6.25,6.25,3200
167,ok,2000-09-04,5.85,6.7,5.85,6.55,4300
168,ok,2000-09-05,5.8,5.8,5.8,5.8,900
169,ok,2000-09-06,6.0,6.35,6.0,6.0,900
170,ok,2000-09-07,6.4,7.9,6.4,7.15,3000
171,ok,2000-09-10,6.25,7.1,6.25,7.1,2800
172,ok,2000-09-11,6.65,7.0,6.6,6.7,4900
173,ok,2000-09-12,5.9,6.45,5.85,6.45,500
174,ok,2000-09-13,7.0,7.0,7.0,7.0,200
175,ok,2000-09-14,6.9,7.0,6.9,7.0,2500
176,ok,2000-09-17,6.8,6.8,6.25,6.35,2100
177,ok,2000-09-18,6.15,6.9,5.6,5.8,2000
178,ok,2000-09-19,6.9,7.75,6.6,6.7,3200
179,ok,2000-09-20,6.7,6.7,6.5,6.5,1400
180,ok,2000-09-21,6.2,6.2,6.1,6.1,500
181,ok,2000-09-24,6.1,6.7,6.1,6.7,200
182,ok,2000-09-25,5.85,6.1,5.7,5.7,2600
183,ok,2000-09-26,6.25,6.25,6.05,6.05,1400
184,ok,2000-09-27,6.1,6.1,6.1,6.1,100
185,ok,2000-09-28,5.65,5.85,5.65,5.7,1300
186,ok,2000-10-02,6.5,7.0,6.5,7.0,2000
187,ok,2000-10-03,6.85,6.85,6.0,6.6,1900
188,ok,2000-10-04,6.25,6.25,6.0,6.0,1000
189,ok,2000-10-05,6.05,6.05,5.8,5.8,2300
190,ok,2000-10-08,6.0,6.0,5.8,5.8,500
191,ok,2000-10-09,5.55,5.95,5.55,5.7,800
192,ok,2000-10-10,5.1,5.55,5.1,5.55,200
193,ok,2000-10-11,5.8,5.8,5.8,5.8,1000
194,ok,2000-10-12,5.7,5.7,5.7,5.7,2500
195,ok,2000-10-16,5.3,5.3,5.15,5.15,1400
196,ok,2000-10-18,5.75,5.75,5.75,5.75,1500
197,ok,2000-10-22,5.85,6.0,5.85,6.0,200
198,ok,2000-10-23,5.1,5.3,5.05,5.25,1500
199,ok,2000-10-24,6.5,7.9,6.5,7.55,12700
200,ok,2000-10-26,6.6,6.75,6.35,6.35,2000
201,ok,2000-10-29,7.0,9.45,7.0,8.1,15701
202,ok,2000-10-30,9.0,11.7,8.1,9.0,43106
203,ok,2000-10-31,10.9,10.9,8.0,8.15,7279
204,ok,2000-11-01,9.4,9.4,7.55,7.6,12342
205,ok,2000-11-02,8.05,8.05,7.1,7.3,18100
206,ok,2000-11-05,7.4,7.8,6.75,7.0,9210
207,ok,2000-11-06,8.0,8.0,6.8,6.85,3402
208,ok,2000-11-07,7.75,7.75,7.0,7.45,102
209,ok,2000-11-08,7.85,7.85,7.5,7.65,501
210,ok,2000-11-09,7.5,7.6,7.0,7.6,1701
211,ok,2000-11-12,7.7,7.7,6.7,7.5,210
212,ok,2000-11-13,6.8,7.4,6.8,7.25,126
213,ok,2000-11-14,7.6,7.6,7.0,7.0,127
214,ok,2000-11-15,6.8,7.0,6.8,7.0,1086
215,ok,2000-11-16,7.45,7.45,6.95,6.95,451
216,ok,2000-11-19,7.0,7.0,6.75,6.75,500
217,ok,2000-11-20,7.0,7.0,6.65,6.9,1123
218,ok,2000-11-22,7.1,7.1,6.55,6.55,101
219,ok,2000-11-23,6.75,6.75,6.75,6.75,105
220,ok,2000-11-26,6.75,6.75,6.55,6.7,1066
221,ok,2000-11-27,6.5,6.9,6.5,6.7,1959
222,ok,2000-11-28,6.75,6.9,6.45,6.9,3001
223,ok,2000-11-29,6.8,6.8,6.65,6.8,700
224,ok,2000-11-30,6.55,7.0,6.55,7.0,201
225,ok,2000-12-03,6.8,6.8,6.55,6.75,1100
226,ok,2000-12-04,7.0,7.4,7.0,7.05,2551
227,ok,2000-12-06,6.95,7.0,6.85,6.9,850
228,ok,2000-12-07,6.9,7.5,6.75,6.8,5550
229,ok,2000-12-10,6.8,6.85,6.6,6.85,1900
230,ok,2000-12-11,6.9,6.95,6.7,6.8,1750
231,ok,2000-12-12,7.0,7.0,6.95,7.0,2624
232,ok,2000-12-13,7.35,7.35,7.0,7.3,5116
233,ok,2000-12-14,7.0,7.05,6.85,6.85,600
234,ok,2000-12-17,7.0,7.0,6.7,6.7,700
235,ok,2000-12-18,7.2,7.2,6.6,6.6,2300
236,ok,2010-09-14,78.4,83.7,68.0,78.85,215373
237,ok,2010-09-15,78.95,78.95,75.1,76.75,13729
238,ok,2010-09-16,76.4,78.0,76.0,77.15,8496
239,ok,2010-09-19,77.0,77.65,75.1,76.45,5293
240,ok,2010-09-20,80.0,80.0,72.7,73.4,6162
241,ok,2010-09-21,76.95,76.95,73.05,73.5,13141
242,ok,2010-09-22,72.4,74.75,71.55,72.1,7166
243,ok,2010-09-23,73.5,79.4,73.5,78.15,29173
244,ok,2010-09-26,79.0,85.5,78.0,82.15,78140
245,ok,2010-09-27,88.0,88.0,79.0,80.95,27742
246,ok,2010-09-28,82.5,82.5,79.25,79.5,25904
247,ok,2010-09-29,81.8,91.85,81.1,86.75,616101
248,ok,2010-09-30,86.0,87.9,83.1,84.0,58576
249,ok,2010-10-03,87.0,87.0,81.3,82.8,26670
250,ok,2010-10-04,85.2,89.0,83.25,84.45,108438
251,ok,2010-10-05,84.6,84.65,81.1,82.5,21864
252,ok,2010-10-06,81.0,83.9,77.4,80.75,14688
253,ok,2010-10-07,81.0,81.95,77.25,78.25,7946
254,ok,2010-10-10,80.75,85.85,78.0,81.1,63547
255,ok,2010-10-11,82.8,82.95,78.5,79.7,13812
256,ok,2010-10-12,80.0,83.75,80.0,83.1,23571
257,ok,2010-10-13,81.75,83.35,79.9,80.1,6271
258,ok,2010-10-14,81.0,83.65,78.3,79.05,11682
259,ok,2010-10-17,83.5,83.5,77.1,77.95,6068
260,ok,2010-10-18,78.15,80.8,75.0,76.15,23594
261,ok,2010-10-19,76.4,78.0,76.0,76.4,7953
262,ok,2010-10-20,77.1,77.85,76.5,76.9,4777
263,ok,2010-10-21,78.35,78.35,76.0,76.5,5685
264,ok,2010-10-24,78.4,78.4,75.8,76.35,6328
265,ok,2010-10-25,75.65,78.35,75.65,77.15,5284
266,ok,2010-10-26,78.0,82.05,77.75,80.5,34525
267,ok,2010-10-27,80.1,80.1,77.8,78.2,14905
268,ok,2010-10-28,78.5,80.0,77.0,79.05,13773
269,ok,2010-10-31,78.0,78.75,76.0,76.4,9171
270,ok,2010-11-01,77.0,87.9,77.0,82.0,342598
271,ok,2010-11-02,86.0,89.4,80.6,81.8,571654
272,ok,2010-11-03,83.0,83.55,77.75,79.45,40891
273,ok,2010-11-04,81.0,81.5,78.7,80.65,6740
274,ok,2010-11-07,82.9,82.9,78.0,78.7,17608
275,ok,2010-11-08,78.0,81.7,78.0,79.1,25218
276,ok,2010-11-09,81.9,83.5,79.5,80.05,59950
277,ok,2010-11-10,79.5,80.95,78.15,78.4,20088
278,ok,2010-11-11,77.25,79.0,76.2,76.7,21104
279,ok,2010-11-14,74.45,77.95,74.45,75.9,14617
280,ok,2010-11-15,74.75,76.7,73.0,73.7,25843
281,ok,2010-11-17,76.6,76.75,68.15,71.85,14886
282,ok,2010-11-18,69.8,72.0,67.65,68.5,12586
283,ok,2010-11-21,70.0,72.55,67.7,69.0,13011
284,ok,2010-11-22,66.0,69.0,65.0,66.0,8601
285,ok,2010-11-23,65.1,68.5,64.0,66.55,8297
286,ok,2010-11-24,65.0,67.75,64.0,64.2,13473
287,ok,2010-11-25,65.7,65.7,55.4,57.35,34607
288,ok,2010-11-28,56.45,59.9,56.4,57.4,26633
289,ok,2010-11-29,57.65,68.0,57.5,64.6,48212
290,ok,2010-11-30,68.4,68.4,64.55,64.95,9946
291,ok,2010-12-01,65.0,67.45,63.5,65.95,11408
292,ok,2010-12-02,66.1,68.0,63.05,63.5,11231
293,ok,2010-12-05,64.05,65.75,61.5,62.45,6580
294,ok,2010-12-06,69.5,69.5,59.5,61.45,6462
295,ok,2010-12-07,61.0,61.7,57.1,58.1,11259
296,ok,2010-12-08,59.9,61.5,55.0,55.25,12881
297,ok,2010-12-09,53.05,59.0,53.05,58.3,5315
298,ok,2010-12-12,58.8,60.0,55.65,59.15,7759
299,ok,2010-12-13,60.75,61.75,59.25,59.85,14259
300,ok,2010-12-14,61.8,62.0,56.05,57.75,9871
301,ok,2010-12-15,57.5,59.9,55.8,57.7,6706
302,ok,2010-12-19,65.0,65.0,54.9,58.6,5189
303,ok,2010-12-20,64.6,70.35,59.0,68.1,317258
304,ok,2010-12-21,69.95,79.4,69.55,73.0,365194
305,ok,2010-12-22,72.0,72.0,67.6,68.95,97360
